NodeId,CommunityId
100000003326911,0
100001614715252,0
100003181998141,0
100000139876836,0
100010332792637,0
100001086519908,0
100009543156780,0
100004623702279,0
100004250850168,0
100006714164342,0
100001361006374,0
100010604895089,0
100005530291651,0
100003948692484,0
100004004696389,0
100006411038521,0
100000752416623,0
100004968605671,0
100007939093931,0
100003001749437,0
100006666127610,0
100001248728393,0
100004178589705,0
100005146397651,0
100008365485849,0
100000693433358,0
100007878933120,0
100001586212712,0
100003642552315,0
100006135189992,0
100006487641677,0
100005148998622,0
100008804985109,0
100003901698311,0
100013418586255,0
100004072669132,0
100011777208560,0
100003077803580,0
100002930875693,0
100004549536035,0
100004339956262,0
100013301469440,0
100012573167636,0
100005086712653,0
100008792676618,0
100006167104764,0
100006951011170,0
100010593185568,0
100011657676376,0
100008673340004,0
100004039335849,0
100000010012110,1
100004743035975,1
100014974989052,1
593869653,1
100000615296266,1
100000054129122,1
100002893221927,1
1426472758,1
100000079341337,1
100005413564155,1
100000099555850,1
100000250341689,1
100000549684676,1
100000100197935,1
100000232316889,1
100000648169972,1
100003811213203,1
100000107068635,1
100004773308332,1
100005310783436,1
100000117251293,1
100000123925366,1
100000694255692,1
100005578870728,1
100000123167989,1
100007085520093,1
100000324980792,1
100002923184803,1
100009877534004,1
100000124118710,1
100002519498547,1
100000234128789,1
100000165236655,1
100000272198201,1
100004052421825,1
100000211010346,1
664494548,1
100000213738171,1
100000075013623,1
100002219134105,1
100000224361341,1
100005459702979,1
100003764204906,1
100006718741953,1
100000028695850,1
100000582933150,1
100001288155727,1
1850799787,1
100000248825556,1
100002476358986,1
100000250716730,1
100000258060120,1
100001734662816,1
100000270669943,1
100001349772848,1
1182456045,1
100000271197409,1
100006734558307,1
100000271264884,1
1277751772,1
100000287409843,1
100000293285166,1
100006142093307,1
100000298620060,1
100001376983295,1
100000318933488,1
100002120023845,1
100000324235724,1
1833350718,1
680401161,1
100001580705077,1
100000325108805,1
100000399230338,1
100003033021688,1
100000342025814,1
100000033842109,1
100001058842532,1
100010057517299,1
100000361855788,1
100000372866558,1
100008187789024,1
100011605339064,1
100001116404587,1
100001477724710,1
100009148146237,1
100000422899556,1
100004463080347,1
100000456992913,1
100000123638967,1
100000473544982,1
100003117966351,1
100000486185840,1
100000520580164,1
100000164512197,1
100002713698840,1
100003720946909,1
100000759377634,1
100005458381766,1
100000854529951,1
100003197714815,1
100009954459841,1
100000996322517,1
1851638749,1
100001074270460,1
100000927341975,1
100003689180560,1
100000024224636,1
100004575667295,1
100004996500640,1
100001167703891,1
100004750242707,1
100001216059439,1
100000178159591,1
100000253320036,1
100001253303977,1
100005042523934,1
100005500950915,1
100001375512792,1
100004680904401,1
100001450461225,1
100003817714594,1
100003903800595,1
100004489691286,1
100001492511319,1
100003791190965,1
1713713680,1
100001514490655,1
100001545377149,1
100000366394180,1
100004768621697,1
100009326985778,1
1833289633,1
100001764347201,1
100000727421012,1
100003740280014,1
100007413671798,1
100001765054939,1
100001904964401,1
100001897509099,1
100003220260606,1
1096837673,1
100001940356115,1
100003202393786,1
100001945237779,1
100000325188550,1
100004552541461,1
100002005505982,1
100002075353501,1
100004929369761,1
100002248163717,1
100000458780783,1
100003154129898,1
100005510438907,1
1702116953,1
100002341965664,1
100000494173368,1
100005733010152,1
100006983980704,1
100002364692743,1
100000179136753,1
100002437866471,1
100003093273575,1
611554305,1
100002624644137,1
100005266752266,1
100000106094101,1
100000448386412,1
100006213644372,1
100001673161992,1
100003123170699,1
100000420424902,1
100003865112932,1
100008164832192,1
100000804380672,1
100000040580139,1
100006579166126,1
100001373156611,1
100003293210630,1
100000059952462,1
100000064141255,1
100011681856270,1
100001765565877,1
100006844446764,1
100000190040780,1
100004628052152,1
